,movie_id,avg_rating,num_ratings,title,release_date,video_release_date,IMDb_URL,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,cluster,pca1,pca2
0,1,3.8783185840707963,452,Toy Story (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.622659151550235,4.000834722994221
1,2,3.2061068702290076,131,GoldenEye (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.4356051830965497,-1.331758808879401
2,3,3.033333333333333,90,Four Rooms (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.4609920081732944,-0.9455019766744661
3,4,3.550239234449761,209,Get Shorty (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7405861630072875,-0.7061854572283873
4,5,3.302325581395349,86,Copycat (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Copycat%20(1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0.014326340408536344,-2.1868837220907076
5,6,3.576923076923077,26,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0088549138486862,-0.2980701971916445
6,7,3.798469387755102,392,Twelve Monkeys (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2.3150174619869563,-1.663761570657589
7,8,3.9954337899543377,219,Babe (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Babe%20(1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6497086835344884,1.6108373850768058
8,9,3.8963210702341136,299,Dead Man Walking (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.27302065924647667,-1.0054463529575597
9,10,3.831460674157303,89,Richard III (1995),22-Jan-1996,,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.18580664192185778,-1.0121295589402175
10,11,3.847457627118644,236,Seven (Se7en) (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Se7en%20(1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.3899407007836504,-2.3291284942400945
11,12,4.385767790262173,267,"Usual Suspects, The (1995)",14-Aug-1995,,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.6176502800789128,-2.517383646148903
12,13,3.4184782608695654,184,Mighty Aphrodite (1995),30-Oct-1995,,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.054538291028446824,0.25182275317888614
13,14,3.9672131147540983,183,"Postino, Il (1994)",01-Jan-1994,,"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.39925075851847486,-0.7695368892915588
14,15,3.7781569965870307,293,Mr. Holland's Opus (1995),29-Jan-1996,,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22666111878975512,-0.9660054825901802
15,16,3.2051282051282053,39,French Twist (Gazon maudit) (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,-0.7948616185897915,0.6166878560767192
16,17,3.119565217391304,92,From Dusk Till Dawn (1996),05-Feb-1996,,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1.6841661741802163,-1.9915700257347173
17,18,2.8,10,"White Balloon, The (1995)",01-Jan-1995,,http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2080473753908816,-0.09361134049402953
18,19,3.9565217391304346,69,Antonia's Line (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Antonia%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7530662464709376,-0.4802802862794349
19,20,3.4166666666666665,72,Angels and Insects (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.989288633438005,-0.39148307949717454
20,21,2.761904761904762,84,Muppet Treasure Island (1996),16-Feb-1996,,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3.5601278789514947,1.2176933541064676
21,22,4.151515151515151,297,Braveheart (1995),16-Feb-1996,,http://us.imdb.com/M/title-exact?Braveheart%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.9661009205160127,-2.1128751526059357
22,23,4.1208791208791204,182,Taxi Driver (1976),16-Feb-1996,,http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4425176976517408,-1.7204385579285788
